case_index,control_index,case_date,control_date,stage,vol_distance
1917,1934,2026-05-08,2026-06-02,U,0.010596849093532423
1917,1929,2026-05-08,2026-05-26,U,0.013899576494315724
1920,1913,2026-05-13,2026-04-29,U,0.007295160078603313
1920,1911,2026-05-13,2026-04-27,U,0.0240091247719163
1920,1912,2026-05-13,2026-04-28,U,0.026857912986218757
1921,1937,2026-05-14,2026-06-05,U,0.033692784649574925
1921,1923,2026-05-14,2026-05-18,U,0.03611608765969265
1921,1928,2026-05-14,2026-05-25,U,0.05656565995903495
1925,1924,2026-05-20,2026-05-19,U,0.007543918561607299
1925,1926,2026-05-20,2026-05-21,U,0.020014338365160533
1925,1923,2026-05-20,2026-05-18,U,0.04652028437677025
1927,1943,2026-05-22,2026-06-15,R,0.0579897987362652
1927,1946,2026-05-22,2026-06-18,R,0.15801392258524105
1927,1838,2026-05-22,2026-01-05,R,0.2698329398199042
1931,1919,2026-05-28,2026-05-12,U,0.019361299390754816
1931,1914,2026-05-28,2026-04-30,U,0.02105265851093785
1931,1912,2026-05-28,2026-04-28,U,0.024450058988322088
1932,1918,2026-05-29,2026-05-11,U,0.0070812621062006365
1932,1934,2026-05-29,2026-06-02,U,0.03760676269586627
1932,1916,2026-05-29,2026-05-07,U,0.04894496030411055
1933,1936,2026-06-01,2026-06-04,U,0.02626573774027907
1933,1935,2026-06-01,2026-06-03,U,0.032093842496955904
1933,1918,2026-06-01,2026-05-11,U,0.049463624935434325
1938,1945,2026-06-08,2026-06-17,U,0.04590246587065838
1938,1944,2026-06-08,2026-06-16,U,0.04680094607865737
1938,1948,2026-06-08,2026-06-23,U,0.0806954078915032
1941,1943,2026-06-11,2026-06-15,R,0.04638495047591018
1941,1946,2026-06-11,2026-06-18,R,0.053639173373065674
1941,1995,2026-06-11,2026-08-27,R,0.1935600189288733
1942,1943,2026-06-12,2026-06-15,R,0.012447163078467494
1942,1946,2026-06-12,2026-06-18,R,0.08757696077050836
1942,1995,2026-06-12,2026-08-27,R,0.227497806326316
1956,1957,2026-07-03,2026-07-06,R,0.00241133489035672
1956,1952,2026-07-03,2026-06-29,R,0.022078177384583064
1956,1954,2026-07-03,2026-07-01,R,0.037494949321466464
1958,1965,2026-07-07,2026-07-16,R,0.01514920634255823
1958,1963,2026-07-07,2026-07-14,R,0.01604948152609431
1958,1964,2026-07-07,2026-07-15,R,0.019272955974448003
1960,1955,2026-07-09,2026-07-02,R,0.04842670581020325
1960,1961,2026-07-09,2026-07-10,R,0.060284081036830806
1960,1939,2026-07-09,2026-06-09,R,0.06703939660783398
1966,1978,2026-07-17,2026-08-04,D,0.01747832711787467
1966,1974,2026-07-17,2026-07-29,D,0.02681717235722303
1966,1973,2026-07-17,2026-07-28,D,0.055071620970872814
1967,1973,2026-07-20,2026-07-28,D,0.013483416510174706
1967,1974,2026-07-20,2026-07-29,D,0.014771032103475079
1967,1978,2026-07-20,2026-08-04,D,0.024109877342823438
1969,1971,2026-07-22,2026-07-24,D,0.00914986835678544
1969,1979,2026-07-22,2026-08-05,D,0.04917670355413151
1969,1970,2026-07-22,2026-07-23,D,0.11628651961234393
1975,1973,2026-07-30,2026-07-28,D,0.006218734028720974
1975,1974,2026-07-30,2026-07-29,D,0.02203571458492881
1975,1978,2026-07-30,2026-08-04,D,0.03137455982427717
1977,1978,2026-08-03,2026-08-04,D,0.006725311178041871
1977,1974,2026-08-03,2026-07-29,D,0.01606415641739023
1977,1973,2026-08-03,2026-07-28,D,0.044318605031040015
1981,1980,2026-08-07,2026-08-06,C,0.07375637959024317
1981,1982,2026-08-07,2026-08-10,C,0.12184773469303956
1981,1985,2026-08-07,2026-08-13,C,0.2511476655797322
1984,1985,2026-08-12,2026-08-13,C,0.051455679656890574
1984,1983,2026-08-12,2026-08-11,C,0.06291115561453253
1984,1982,2026-08-12,2026-08-10,C,0.0778442512298021
1986,1985,2026-08-14,2026-08-13,C,0.003966504357459044
1986,1983,2026-08-14,2026-08-11,C,0.007488971600182914
1986,1982,2026-08-14,2026-08-10,C,0.13326643524415172
1994,1995,2026-08-26,2026-08-27,R,0.0031821232014488388
1994,1939,2026-08-26,2026-06-09,R,0.023371661771908414
1994,1955,2026-08-26,2026-07-02,R,0.13883776418994564
1999,1841,2026-09-02,2026-01-08,C,0.01767679009635348
1999,1840,2026-09-02,2026-01-07,C,0.05762836514167091
1999,1839,2026-09-02,2026-01-06,C,0.059713611709218295
2001,1846,2026-09-04,2026-01-15,R,0.03783958183524083
2001,1847,2026-09-04,2026-01-16,R,0.049136154140082766
2001,2000,2026-09-04,2026-09-03,R,0.0744160794713582
