work,rule,buffer_pct,payment,first_window,slip_each_bp,retry,evidence
A,S0,0,ex_date_close_scenario,open,5,later_session_open_only,daily_endpoint_indicative
A,S0,0,receivable_locked,open,5,later_session_open_only,daily_endpoint_indicative
A,S0,10,ex_date_close_scenario,open,5,later_session_open_only,daily_endpoint_indicative
A,S0,10,receivable_locked,open,5,later_session_open_only,daily_endpoint_indicative
A,S0,30,ex_date_close_scenario,open,5,later_session_open_only,daily_endpoint_indicative
A,S0,30,receivable_locked,open,5,later_session_open_only,daily_endpoint_indicative
A,S1_F1,0,ex_date_close_scenario,open,5,later_session_open_only,daily_endpoint_indicative
A,S1_F1,0,receivable_locked,open,5,later_session_open_only,daily_endpoint_indicative
A,S1_F1,10,ex_date_close_scenario,open,5,later_session_open_only,daily_endpoint_indicative
A,S1_F1,10,receivable_locked,open,5,later_session_open_only,daily_endpoint_indicative
A,S1_F1,30,ex_date_close_scenario,open,5,later_session_open_only,daily_endpoint_indicative
A,S1_F1,30,receivable_locked,open,5,later_session_open_only,daily_endpoint_indicative
A,S2_F2,0,ex_date_close_scenario,open,5,later_session_open_only,daily_endpoint_indicative
A,S2_F2,0,receivable_locked,open,5,later_session_open_only,daily_endpoint_indicative
A,S2_F2,10,ex_date_close_scenario,open,5,later_session_open_only,daily_endpoint_indicative
A,S2_F2,10,receivable_locked,open,5,later_session_open_only,daily_endpoint_indicative
A,S2_F2,30,ex_date_close_scenario,open,5,later_session_open_only,daily_endpoint_indicative
A,S2_F2,30,receivable_locked,open,5,later_session_open_only,daily_endpoint_indicative
C,S0,30,ex_date_close_scenario,open,10,later_session_open_only,indicative_not_certified_fill
C,S0,30,ex_date_close_scenario,post0935_0940_window,5,later_session_open_only,indicative_not_certified_fill
C,S0,30,ex_date_close_scenario,post0935_0940_window,10,later_session_open_only,indicative_not_certified_fill
C,S0,30,receivable_locked,open,10,later_session_open_only,indicative_not_certified_fill
C,S0,30,receivable_locked,post0935_0940_window,5,later_session_open_only,indicative_not_certified_fill
C,S0,30,receivable_locked,post0935_0940_window,10,later_session_open_only,indicative_not_certified_fill
C,S1_F1,30,ex_date_close_scenario,open,10,later_session_open_only,indicative_not_certified_fill
C,S1_F1,30,ex_date_close_scenario,post0935_0940_window,5,later_session_open_only,indicative_not_certified_fill
C,S1_F1,30,ex_date_close_scenario,post0935_0940_window,10,later_session_open_only,indicative_not_certified_fill
C,S1_F1,30,receivable_locked,open,10,later_session_open_only,indicative_not_certified_fill
C,S1_F1,30,receivable_locked,post0935_0940_window,5,later_session_open_only,indicative_not_certified_fill
C,S1_F1,30,receivable_locked,post0935_0940_window,10,later_session_open_only,indicative_not_certified_fill
